"survived","embarked","sex","sibsp","parch","fare"
1,"S","female",0,0,211.3375
1,"S","male",1,2,151.55
0,"S","female",1,2,151.55
0,"S","male",1,2,151.55
0,"S","female",1,2,151.55
1,"S","male",0,0,26.55
1,"S","female",1,0,77.9583
0,"S","male",0,0,0
1,"S","female",2,0,51.4792
0,"C","male",0,0,49.5042
0,"C","male",1,0,227.525
1,"C","female",1,0,227.525
1,"C","female",0,0,69.3
1,"S","female",0,0,78.85
1,"S","male",0,0,30
0,"S","male",0,0,25.925
0,"C","male",0,1,247.5208
1,"C","female",0,1,247.5208
1,"C","female",0,0,76.2917
0,"C","male",0,0,75.2417
1,"S","male",1,1,52.5542
1,"S","female",1,1,52.5542
1,"C","male",0,0,30
1,"C","female",0,0,227.525
1,"S","female",0,0,221.7792
0,"C","male",0,0,26
1,"C","male",1,0,91.0792
1,"C","female",1,0,91.0792
1,"S","female",0,0,135.6333
1,"S","male",0,0,26.55
0,"S","male",0,0,35.5
1,"C","male",0,0,31
1,"S","female",0,0,164.8667
1,"S","female",0,0,26.55
0,"S","male",0,0,26.55
1,"C","female",0,0,262.375
1,"S","female",0,1,55
1,"S","male",0,0,26.55
0,"S","male",0,0,30.5
0,"C","male",0,0,50.4958
0,"C","male",0,0,39.6
1,"C","female",0,0,27.7208
1,"S","female",2,0,51.4792
1,"C","female",0,0,76.2917
1,"C","female",0,0,134.5
0,"S","male",0,0,26.55
0,"S","male",0,0,31
1,"S","male",0,0,26.2875
1,"C","female",0,0,27.4458
1,"C","male",0,1,512.3292
1,"C","female",0,1,512.3292
0,"S","male",0,0,5
0,"S","male",0,0,47.1
0,"S","male",0,0,47.1
1,"S","male",1,2,120
1,"S","female",1,2,120
1,"S","male",1,2,120
1,"S","female",1,2,120
0,"S","male",0,0,26
1,"C","female",0,0,27.7208
0,"S","male",1,0,78.85
1,"S","female",1,0,78.85
0,"S","male",1,0,61.175
1,"S","female",1,0,61.175
1,"S","male",1,0,53.1
1,"S","female",1,0,53.1
1,"C","female",0,0,262.375
1,"S","female",0,0,86.5
1,"C","male",0,0,29.7
1,"S","female",0,1,55
0,"S","male",0,0,0
0,"C","male",1,0,136.7792
1,"C","female",1,0,136.7792
1,"S","female",0,0,151.55
0,"S","male",0,0,52
0,"S","male",0,0,25.5875
1,"C","female",1,1,83.1583
0,"C","male",1,1,83.1583
1,"C","female",0,2,83.1583
1,"S","female",2,0,25.7
0,"S","male",0,0,26.55
0,"S","male",1,1,71
1,"S","female",0,2,71
1,"S","female",1,1,26.55
0,"C","male",1,0,71.2833
1,"C","female",1,0,71.2833
1,"S","male",0,0,26.55
1,"S","male",0,0,30.5
1,"S","female",0,0,151.55
0,"S","male",1,0,52
1,"S","female",1,2,52
1,"S","male",1,0,57
1,"S","female",1,0,57
1,"S","male",1,1,81.8583
1,"S","male",0,2,81.8583
1,"S","female",1,1,81.8583
0,"C","male",1,0,106.425
1,"C","female",1,1,247.5208
1,"C","female",1,0,106.425
1,"C","female",1,0,39.6
1,"C","male",1,0,56.9292
0,"C","male",0,0,29.7
1,"C","female",0,1,83.1583
1,"C","female",0,0,227.525
1,"C","female",1,0,78.2667
0,"C","female",0,0,31.6792
0,"S","male",0,0,221.7792
1,"S","female",0,0,31.6833
1,"C","female",0,0,110.8833
1,"S","male",0,0,26.3875
0,"C","male",0,0,27.75
1,"S","female",3,2,263
1,"S","female",3,2,263
1,"S","female",3,2,263
0,"S","male",3,2,263
0,"S","male",1,4,263
1,"S","female",1,4,263
1,"C","female",0,0,56.9292
0,"S","male",0,0,26.55
1,"S","male",2,0,133.65
1,"C","male",1,0,27.7208
1,"S","female",1,0,133.65
1,"C","female",0,2,49.5
1,"C","male",1,1,79.2
1,"C","female",1,1,79.2
0,"S","male",0,0,0
0,"S","male",1,0,53.1
1,"S","female",1,0,53.1
0,"S","male",0,0,38.5
1,"C","female",0,0,211.5
1,"C","female",0,1,59.4
1,"C","female",0,1,59.4
0,"C","male",0,0,79.2
1,"C","male",1,0,89.1042
1,"C","female",1,0,89.1042
0,"C","male",0,0,34.6542
1,"C","male",0,0,28.5
1,"S","female",0,0,30
0,"S","male",0,1,153.4625
1,"S","female",0,1,153.4625
1,"C","male",0,1,63.3583
1,"C","female",0,1,63.3583
0,"C","male",0,0,79.2
1,"C","male",1,0,55.4417
1,"C","female",1,0,55.4417
1,"C","male",1,0,76.7292
1,"C","female",1,0,76.7292
0,"S","male",0,0,42.4
0,"S","male",1,0,83.475
1,"S","female",1,0,83.475
0,"S","male",0,0,0
1,"C","male",0,0,76.7292
1,"S","male",0,0,30
1,"C","female",0,0,83.1583
0,"S","male",1,1,93.5
1,"S","female",1,1,93.5
0,"S","male",0,0,42.5
0,"S","male",0,0,51.8625
0,"S","male",0,0,50
1,"C","female",0,1,57.9792
1,"C","female",0,1,57.9792
1,"S","female",1,0,77.9583
0,"S","male",1,0,52
1,"S","female",1,0,52
1,"C","male",0,0,26.55
1,"S","male",1,0,90
0,"C","male",0,0,30.6958
1,"S","female",1,0,90
1,NA,"female",0,0,80
0,"C","female",0,0,28.7125
1,"S","male",0,0,0
0,"S","male",0,0,26
0,"S","male",0,0,26
0,"C","male",0,0,211.5
0,"C","male",0,0,29.7
0,"S","male",1,0,51.8625
1,"S","female",1,0,51.8625
1,"S","male",1,0,52.5542
1,"S","female",1,0,52.5542
0,"S","male",0,0,26.55
1,"S","female",0,0,211.3375
1,"S","female",0,0,25.9292
1,"C","female",0,0,106.425
1,"C","male",0,0,512.3292
0,"C","male",0,0,27.7208
0,"S","male",0,0,26.55
1,"C","female",0,0,27.7208
1,"S","female",0,1,39.4
1,"S","female",0,1,39.4
0,"S","male",0,0,30
1,"S","female",0,0,77.9583
0,"S","male",0,0,45.5
1,"C","female",0,0,146.5208
1,"S","female",0,1,211.3375
0,"S","male",0,0,26
1,"S","female",0,0,86.5
1,"C","male",0,0,29.7
0,"S","male",1,0,53.1
1,"S","female",1,0,53.1
1,"C","female",0,0,49.5042
0,"C","male",0,0,75.2417
0,"S","male",0,0,51.8625
1,"S","male",0,0,26.2875
0,"C","male",1,0,82.1708
1,"C","female",1,0,82.1708
0,"S","male",0,0,26.55
0,"Q","male",2,0,90
1,"Q","female",1,0,90
1,"Q","female",1,0,90
1,"C","male",1,0,57.75
0,"S","male",0,0,30.5
0,"S","male",0,0,42.4
0,"C","male",0,1,29.7
1,"C","female",1,0,113.275
1,"C","female",1,0,113.275
0,"C","male",0,2,113.275
1,"S","female",0,2,26.2833
0,"S","male",0,0,26
1,"C","female",0,0,108.9
1,"C","male",0,0,25.7417
1,"C","female",0,1,61.9792
0,"C","male",0,1,61.9792
0,"C","male",0,0,27.7208
0,"S","male",0,0,0
0,"S","male",0,0,28.5
0,"S","male",0,0,93.5
0,"S","male",1,0,66.6
1,"S","female",1,0,66.6
0,"C","male",1,0,108.9
1,"C","female",1,0,108.9
1,"S","female",0,0,93.5
1,"S","male",0,0,30.5
0,"S","male",0,0,52
1,"C","female",0,1,83.1583
0,"S","male",0,0,0
1,"S","male",0,0,39.6
0,"C","male",0,0,135.6333
0,"C","male",0,0,227.525
1,"S","female",0,1,211.3375
0,"S","male",0,0,50.4958
1,"S","male",0,0,26.55
0,"S","male",0,0,50
1,"C","female",0,0,27.7208
0,"C","male",0,0,79.2
0,"C","male",0,0,40.125
1,"S","female",0,0,86.5
0,"C","male",1,0,59.4
1,"C","female",1,0,59.4
0,"S","male",0,0,26.55
1,"C","male",2,2,262.375
1,"C","female",2,2,262.375
1,"C","female",2,2,262.375
0,"C","male",1,3,262.375
1,"C","female",1,3,262.375
1,"S","male",0,0,30.5
1,"C","female",0,0,69.3
1,"S","male",0,0,26
1,"C","female",1,0,57.75
1,"C","female",0,0,31
1,"S","male",0,0,26.55
1,"S","female",0,0,153.4625
1,"S","male",0,0,26.2875
0,"S","male",1,0,55.9
1,"S","female",1,0,55.9
1,"C","male",0,0,35.5
1,"S","male",0,0,35.5
0,"S","male",0,0,26.55
0,"C","male",0,0,30.6958
0,"S","male",1,0,60
0,"S","male",0,0,26
1,"S","female",1,0,60
1,"S","male",1,0,82.2667
1,"S","female",1,0,82.2667
1,"C","male",0,2,134.5
1,"C","male",1,1,134.5
1,"C","female",1,1,134.5
0,"C","male",1,0,146.5208
1,"C","female",1,0,146.5208
1,"C","male",0,0,30.5
0,"S","male",0,0,26.55
1,"C","male",1,0,55.4417
1,"C","female",1,0,55.4417
1,"C","female",1,0,78.2667
0,"C","male",0,0,27.7208
1,NA,"female",0,0,80
0,"S","male",1,0,221.7792
0,"S","female",1,0,221.7792
0,"S","male",0,0,32.3208
1,"S","female",0,0,25.9292
1,"S","female",0,2,79.65
0,"S","male",1,1,79.65
1,"S","female",1,1,79.65
1,"S","male",1,0,52
1,"S","female",1,0,52
0,"C","male",1,1,110.8833
1,"C","male",0,2,110.8833
1,"C","female",1,1,110.8833
1,"C","female",0,0,79.2
1,"C","male",0,0,28.5375
0,"C","male",0,0,27.7208
0,"S","male",0,0,33.5
0,"S","male",0,0,34.0208
1,"C","female",0,0,512.3292
0,"C","male",1,0,75.25
1,"C","female",1,0,75.25
0,"S","male",0,0,26.55
0,"S","male",0,1,77.2875
0,"S","male",0,1,77.2875
1,"C","female",0,0,135.6333
1,"S","female",0,2,164.8667
0,"S","male",1,1,164.8667
1,"S","female",1,1,164.8667
0,"C","male",1,1,211.5
0,"C","male",0,2,211.5
1,"C","female",1,1,211.5
1,"S","female",0,0,26.55
0,"C","male",0,1,61.3792
1,"C","male",0,1,61.3792
0,"S","male",0,0,35
1,"C","female",0,0,134.5
1,"S","male",0,0,35.5
0,"S","male",0,0,26.55
1,"C","female",0,0,135.6333
0,"C","male",1,0,24
1,"C","female",1,0,24
0,"S","male",0,0,13
0,"S","male",0,0,11.5
0,"S","male",0,0,10.5
0,"S","male",1,0,26
1,"S","female",1,0,26
0,"S","male",0,0,13
0,"S","male",0,0,11.5
0,"S","male",0,0,10.5
1,"S","female",0,0,13
0,"S","male",0,0,10.5
0,"S","male",0,0,12.525
1,"S","male",1,0,26
1,"S","female",1,0,26
0,"S","male",0,0,26
1,"S","male",2,1,39
1,"S","female",2,1,39
1,"S","female",2,1,39
1,"S","female",0,3,39
1,"S","male",0,0,13
1,"S","female",0,0,13
0,"S","male",0,0,13
0,"S","male",0,0,13
0,"S","male",0,0,13
0,"S","male",0,0,13
1,"S","female",0,0,13
1,"S","female",0,2,39
0,"S","male",1,1,39
1,"S","female",1,1,39
1,"S","female",1,0,26
0,"S","male",1,0,26
1,"S","female",0,0,13
0,"S","male",0,0,13
0,"S","male",0,0,13
1,"S","female",0,0,13
1,"S","male",0,2,29
1,"S","male",1,1,29
1,"S","female",1,1,29
1,"S","female",0,0,21
0,"S","male",0,0,0
0,"S","male",0,0,13
0,"S","female",1,0,26
0,"S","male",1,0,26
0,"S","male",0,0,13.5
0,"S","male",1,0,26
0,"S","female",1,0,26
1,"S","female",1,1,30
1,"S","female",0,2,30
0,"S","male",1,0,26
1,"S","female",1,0,26
0,"S","male",0,0,10.5
0,"S","male",0,0,13
1,"S","male",0,0,10.5
1,"S","female",0,2,26.25
0,"S","male",1,1,26.25
1,"S","female",1,1,26.25
1,"S","female",0,0,10.5
0,"S","female",0,0,13
0,"S","female",0,0,21
0,"S","male",0,0,11.5
0,"S","male",0,0,0
1,"S","male",1,1,36.75
0,"S","male",0,0,73.5
1,"S","female",0,2,36.75
1,"S","female",0,0,13
0,"S","male",0,0,13
0,"S","male",0,0,73.5
0,"C","male",1,0,27.7208
1,"C","female",1,0,27.7208
0,"S","male",0,0,31.5
0,"S","male",0,0,73.5
1,"S","female",0,1,23
1,"S","female",0,1,23
0,"S","male",0,0,26
1,"S","male",0,2,32.5
0,"S","male",1,1,32.5
1,"S","female",1,1,32.5
1,"C","female",1,0,13.8583
1,"C","female",1,0,13.8583
0,"S","male",0,0,13
0,"S","male",0,0,13
0,"S","male",0,0,13
0,"S","male",1,0,26
1,"S","female",1,0,26
0,"S","male",0,0,10.5
0,"S","male",0,0,13
0,"S","male",0,0,0
0,"S","female",0,0,13
0,"S","male",0,0,26
0,"S","male",1,0,21
0,"S","male",1,0,21
1,"S","female",0,0,13
0,"S","male",0,0,26
0,"S","male",0,0,10.5
0,"S","male",0,0,10.5
0,"S","male",1,0,11.5
0,"S","male",1,0,11.5
0,"S","male",0,0,13.5
0,"S","male",0,0,13
0,"S","male",0,0,13
0,"S","male",0,0,13
0,"S","male",0,0,13
0,"S","male",0,0,13
1,"S","male",1,1,14.5
1,"S","female",0,2,14.5
0,"S","male",0,0,13
1,"S","female",0,1,33
0,"S","male",0,1,33
1,"S","male",0,0,10.5
0,"S","male",0,0,10.5
1,"S","female",0,2,26.25
0,"S","male",1,1,26.25
1,"S","female",1,1,26.25
1,"S","female",1,2,65
1,"S","female",1,2,65
0,"S","male",1,2,65
1,"S","female",1,2,65
1,"S","female",0,0,16
0,"S","male",2,0,73.5
0,"S","male",2,0,73.5
0,"S","male",2,0,73.5
0,"S","female",1,1,13
1,"S","female",2,1,23
0,"S","male",2,1,11.5
0,"S","male",0,0,13
1,"S","female",1,3,23
0,"S","male",0,0,13
0,"S","male",1,0,26
1,"S","female",1,0,26
0,"S","male",0,0,73.5
1,"S","male",0,0,13
0,"S","male",1,0,26
0,"S","female",1,0,26
0,"S","male",0,0,12.275
1,"S","female",0,0,10.5
0,"S","male",1,0,27
1,"S","female",2,1,27
0,"S","male",0,0,15
0,"S","male",2,0,31.5
0,"S","male",2,0,31.5
0,"S","male",0,0,10.5
1,"C","female",0,0,13.7917
0,"S","male",1,0,26
1,"S","female",1,0,26
0,"S","female",0,0,21
1,"Q","female",0,0,12.35
0,"Q","male",0,0,12.35
1,"S","female",0,0,13.5
0,"Q","male",0,0,12.35
0,"S","male",0,0,0
0,"S","male",0,0,10.5
0,"S","female",1,1,26
0,"S","male",1,1,26
0,"Q","male",0,0,10.7083
1,"C","female",1,2,41.5792
1,"C","female",1,2,41.5792
0,"C","male",1,2,41.5792
1,"C","female",1,2,41.5792
1,"C","female",0,0,12
1,"S","female",0,0,33
1,"S","female",0,0,10.5
0,"C","male",0,0,12.875
0,"S","male",0,0,10.5
0,"Q","male",0,0,12.35
0,"S","male",1,0,26
1,"S","female",1,0,26
0,"S","female",0,0,10.5
0,"C","male",0,0,15.0458
1,"C","male",0,2,37.0042
0,"C","male",1,1,37.0042
1,"C","female",1,1,37.0042
0,"C","male",0,0,15.5792
0,"S","male",0,0,13
0,"S","male",0,0,16
0,"S","male",0,0,13.5
0,"S","male",0,0,13
0,"S","male",0,0,26
1,"S","female",0,1,19.5
1,"S","female",0,1,19.5
1,"S","male",0,0,10.5
0,"S","male",0,0,13
0,"S","male",0,0,13
0,"S","male",0,0,10.5
0,"S","male",0,0,13
0,"S","male",0,0,14
0,"S","male",0,0,26
0,"S","male",0,0,10.5
0,"Q","male",0,0,9.6875
0,"C","male",1,0,30.0708
1,"C","female",1,0,30.0708
1,"S","male",1,1,26
1,"S","male",1,1,26
0,"S","male",0,2,26
0,"S","male",0,0,13
0,"S","male",1,1,36.75
0,"S","male",0,0,13.5
1,"C","male",0,0,13.8625
1,"S","female",0,0,10.5
0,"S","male",0,0,13
1,"S","male",0,0,10.5
1,"C","male",0,0,13.8625
0,"S","male",0,0,10.5
1,"C","male",0,0,13.8583
0,"S","male",0,0,10.5
0,"S","male",0,0,0
1,"S","female",0,1,26
0,"S","male",0,0,10.5
0,"C","male",0,0,15.05
0,"S","male",0,0,13
1,"S","female",0,1,21
1,"S","female",0,0,26
0,"S","male",0,1,21
1,"S","female",0,0,13
0,"S","male",0,0,13
1,"C","male",0,0,12.7375
0,"C","male",0,0,15.0333
1,"S","female",1,1,26
1,"S","female",1,1,26
1,"S","female",0,2,26
0,"S","male",0,0,10.5
0,"S","male",1,0,21
1,"S","female",3,0,21
1,"S","female",0,0,13
0,"C","male",0,0,15.0458
1,"S","male",1,1,18.75
1,"S","male",1,1,18.75
1,"S","female",2,3,18.75
1,"S","female",0,0,10.5
0,"S","male",0,0,10.5
1,"S","female",0,0,10.5
0,"S","male",0,0,13
0,"S","male",0,0,13
0,"S","male",0,0,26
1,"S","female",0,1,26
1,"S","female",0,2,13
1,"S","female",0,0,36.75
1,"S","female",0,0,13
0,"S","male",0,0,13.5
1,"Q","female",0,0,12.35
0,"S","male",0,0,10.5
1,"S","female",0,0,13
0,"S","male",0,0,13
0,"C","male",0,0,15.0458
0,"S","male",0,0,10.5
0,"S","male",0,0,13
0,"S","male",0,0,65
1,"S","female",0,0,10.5
0,"S","male",0,0,13
1,"S","female",0,0,12.65
1,"S","female",0,0,10.5
0,"S","male",1,0,21
0,"S","female",1,0,21
0,"S","male",0,0,13
1,"S","female",0,0,21
0,"S","male",1,0,21
0,"S","male",1,0,10.5
1,"S","female",0,0,21
0,"S","male",0,0,0
1,"S","female",0,0,15.75
1,"S","female",0,0,15.75
1,"S","female",0,0,13
0,"S","male",1,0,26
1,"S","female",1,0,26
1,"S","male",1,1,23
1,"S","female",1,1,23
1,"S","female",0,2,23
1,"S","female",1,2,27.75
1,"S","female",1,2,27.75
0,"S","male",1,2,27.75
1,"S","female",1,2,27.75
0,"S","male",0,0,10.5
0,"S","male",0,0,12.875
1,"S","male",0,0,13
1,"S","male",0,0,13
1,"S","female",0,0,13.5
0,"S","female",0,0,13
0,"S","male",0,0,7.55
0,"S","male",0,2,20.25
0,"S","male",1,1,20.25
1,"S","female",1,1,20.25
1,"S","female",0,0,7.65
1,"S","male",0,0,7.65
1,"S","male",0,0,7.925
1,"C","female",0,0,7.2292
0,"S","male",0,0,7.25
0,"S","male",0,0,8.05
0,"S","female",1,0,9.475
1,"S","male",0,1,9.35
1,"S","female",0,1,9.35
1,"C","male",0,0,18.7875
0,"S","male",0,0,7.8875
0,"S","male",0,0,7.925
0,"S","male",0,0,7.05
0,"S","male",0,0,7.05
0,"S","male",0,0,8.05
0,"S","male",0,0,8.3
0,"S","male",0,0,22.525
1,"S","female",1,0,7.8542
0,"S","male",4,2,31.275
0,"S","female",4,2,31.275
0,"S","female",4,2,31.275
1,"S","female",4,2,7.925
0,"S","female",4,2,7.775
0,"S","female",4,2,31.275
0,"S","female",4,2,31.275
0,"S","male",1,5,31.275
1,"S","male",0,0,7.7958
0,"S","male",0,0,7.775
0,"S","female",1,5,31.275
0,"S","male",0,0,7.8542
0,"S","male",0,0,7.8958
0,"S","male",1,0,17.8
0,"S","female",1,0,17.8
0,"S","male",0,0,7.775
0,"S","male",0,0,7.05
0,"S","male",4,2,31.3875
0,"S","male",4,2,31.3875
1,"S","male",4,2,31.3875
0,"S","male",4,2,31.3875
1,"S","female",4,2,31.3875
0,"S","male",1,5,31.3875
1,"S","male",0,0,7.7958
1,"S","female",1,5,31.3875
1,"C","female",0,0,7.225
0,"C","male",0,0,7.225
0,"S","male",0,0,7.05
0,"C","female",0,0,14.4583
0,"C","male",0,0,7.225
0,"S","male",0,0,7.8542
1,"C","female",0,0,7.2292
0,"C","male",0,0,7.225
0,"S","male",1,0,15.85
1,"S","female",3,0,15.85
1,"C","female",2,1,19.2583
1,"C","female",2,1,19.2583
